order_group	component_id	campaign	ownership_unit	dependency_units	source_count
3	component-093	webgl2	webgl2:renderer:render_target	shader:source:constants;webgl2:renderer:gl_utils;webgl2:renderer:gles3;webgl2:renderer:render_context_gl_impl	2
3	component-103	webgpu	webgpu:ore:pipeline	webgpu:ore:bind_group_layout;webgpu:wagyu:webgpu_cpp	2
4	component-078	vulkan	vulkan:renderer:vulkan_shaders	shader:source:atomic_draw_atlas_blit;shader:source:atomic_draw_image_mesh;shader:source:atomic_draw_image_rect;shader:source:atomic_draw_interior_triangles;shader:source:atomic_draw_path;shader:source:atomic_resolve;shader:source:atomic_resolve_coalesced;shader:source:clear_clockwise_atomic_clip;shader:source:color_ramp;shader:source:draw_atlas_blit;shader:source:draw_clockwise_atlas_blit;shader:source:draw_clockwise_atomic_atlas_blit;shader:source:draw_clockwise_atomic_borrowed_coverage;shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles;shader:source:draw_clockwise_atomic_clip;shader:source:draw_clockwise_atomic_clip_interior_triangles;shader:source:draw_clockwise_atomic_image_mesh;shader:source:draw_clockwise_atomic_interior_triangles;shader:source:draw_clockwise_atomic_path;shader:source:draw_clockwise_clip;shader:source:draw_clockwise_clip_interior_triangles;shader:source:draw_clockwise_image_mesh;shader:source:draw_clockwise_interior_triangles;shader:source:draw_clockwise_path;shader:source:draw_fullscreen_quad;shader:source:draw_image_mesh;shader:source:draw_input_attachment;shader:source:draw_interior_triangles;shader:source:draw_msaa_atlas_blit;shader:source:draw_msaa_color_seed_attachment;shader:source:draw_msaa_image_mesh;shader:source:draw_msaa_path;shader:source:draw_msaa_resolve;shader:source:draw_msaa_stencil;shader:source:draw_path;shader:source:init_clockwise_atomic_workaround;shader:source:render_atlas;shader:source:render_atlas_fill;shader:source:render_atlas_stroke;shader:source:tessellate	2
4	component-095	webgl2	webgl2:renderer:pls_impl_ext_native	shader:source:constants;shader:source:pls_load_store_ext;webgl2:renderer:gl_utils;webgl2:renderer:load_store_actions_ext;webgl2:renderer:render_context_gl_impl;webgl2:renderer:render_target	1
4	component-096	webgl2	webgl2:renderer:pls_impl_rw_texture	shader:source:constants;shader:source:glsl;webgl2:renderer:gl_utils;webgl2:renderer:render_context_gl_impl;webgl2:renderer:render_target	1
4	component-097	webgl2	webgl2:renderer:pls_impl_webgl	shader:source:constants;shader:source:glsl;webgl2:renderer:gl_utils;webgl2:renderer:render_context_gl_impl;webgl2:renderer:render_target	1
4	component-109	webgpu	webgpu:ore:bind_group	webgpu:ore:buffer;webgpu:ore:context;webgpu:wagyu:webgpu_cpp	2
4	component-109	webgpu	webgpu:ore:buffer	webgpu:ore:context;webgpu:wagyu:webgpu_cpp	2
4	component-109	webgpu	webgpu:ore:context	webgpu:ore:bind_group;webgpu:ore:bind_group_layout;webgpu:ore:buffer;webgpu:ore:pipeline;webgpu:ore:render_pass;webgpu:ore:sampler;webgpu:ore:shader_module;webgpu:ore:texture;webgpu:ore:wgpu_layout;webgpu:renderer:render_context_webgpu_impl;webgpu:wagyu:webgpu_cpp;webgpu:wagyu:webgpu_wagyu	2
4	component-109	webgpu	webgpu:ore:render_pass	webgpu:ore:bind_group;webgpu:ore:buffer;webgpu:ore:context;webgpu:ore:pipeline;webgpu:ore:sampler;webgpu:ore:texture;webgpu:wagyu:webgpu_cpp	2
4	component-109	webgpu	webgpu:renderer:render_context_webgpu_impl	shader:source:advanced_blend;shader:source:atomic_draw_atlas_blit;shader:source:atomic_draw_image_mesh;shader:source:atomic_draw_image_rect;shader:source:atomic_draw_interior_triangles;shader:source:atomic_draw_path;shader:source:atomic_init;shader:source:atomic_resolve;shader:source:atomic_resolve_coalesced;shader:source:bezier_utils;shader:source:blit_texture_as_draw_filtered;shader:source:color_ramp;shader:source:common;shader:source:constants;shader:source:draw_clockwise_clip;shader:source:draw_clockwise_path;shader:source:draw_image_mesh;shader:source:draw_mesh;shader:source:draw_msaa_atlas_blit;shader:source:draw_msaa_image_mesh;shader:source:draw_msaa_path;shader:source:draw_msaa_stencil;shader:source:draw_path;shader:source:draw_path_common;shader:source:draw_raster_order_path;shader:source:flush_uniforms;shader:source:glsl;shader:source:render_atlas;shader:source:render_atlas_fill;shader:source:render_atlas_stroke;shader:source:tessellate;webgl2:renderer:load_store_actions_ext;webgpu:ore:context;webgpu:renderer:webgpu_compat;webgpu:wagyu:webgpu_cpp;webgpu:wagyu:webgpu_wagyu	2
5	component-079	vulkan	vulkan:renderer:draw_shader	vulkan:renderer:vulkan_context;vulkan:renderer:vulkan_shaders	2
6	component-080	vulkan	vulkan:ore:bind_group	vulkan:ore:buffer;vulkan:ore:context	2
6	component-080	vulkan	vulkan:ore:context	vulkan:ore:bind_group;vulkan:ore:bind_group_layout;vulkan:ore:buffer;vulkan:ore:pipeline;vulkan:ore:render_pass;vulkan:ore:sampler;vulkan:ore:shader_module;vulkan:ore:texture;vulkan:ore:vulkan_dsl;vulkan:renderer:render_target;vulkan:renderer:vulkan_context	2
6	component-080	vulkan	vulkan:ore:pipeline	vulkan:ore:bind_group;vulkan:ore:bind_group_layout;vulkan:ore:context;vulkan:ore:shader_module;vulkan:ore:vulkan_dsl	2
6	component-080	vulkan	vulkan:ore:render_pass	vulkan:ore:bind_group;vulkan:ore:buffer;vulkan:ore:context;vulkan:ore:pipeline;vulkan:ore:sampler;vulkan:ore:texture;vulkan:renderer:render_target;vulkan:renderer:vkutil	2
6	component-080	vulkan	vulkan:ore:texture	vulkan:ore:buffer;vulkan:ore:context;vulkan:renderer:render_target;vulkan:renderer:vulkan_context	2
6	component-080	vulkan	vulkan:renderer:draw_pipeline	shader:source:constants;vulkan:renderer:common_layouts;vulkan:renderer:draw_pipeline_layout;vulkan:renderer:draw_shader;vulkan:renderer:pipeline_manager;vulkan:renderer:render_context_vulkan_impl;vulkan:renderer:render_pass;vulkan:renderer:vulkan_context	2
6	component-080	vulkan	vulkan:renderer:draw_pipeline_layout	shader:source:constants;vulkan:renderer:pipeline_manager;vulkan:renderer:render_context_vulkan_impl;vulkan:renderer:render_pass;vulkan:renderer:vulkan_context	2
6	component-080	vulkan	vulkan:renderer:pipeline_manager	shader:source:constants;vulkan:renderer:draw_pipeline;vulkan:renderer:draw_pipeline_layout;vulkan:renderer:render_context_vulkan_impl;vulkan:renderer:render_pass	2
6	component-080	vulkan	vulkan:renderer:render_context_vulkan_impl	shader:source:constants;vulkan:ore:context;vulkan:renderer:common_layouts;vulkan:renderer:draw_pipeline;vulkan:renderer:draw_pipeline_layout;vulkan:renderer:draw_shader;vulkan:renderer:pipeline_manager;vulkan:renderer:render_pass;vulkan:renderer:render_target;vulkan:renderer:vulkan_context;vulkan:renderer:vulkan_shaders	2
6	component-080	vulkan	vulkan:renderer:render_pass	shader:source:constants;vulkan:renderer:common_layouts;vulkan:renderer:draw_pipeline_layout;vulkan:renderer:pipeline_manager;vulkan:renderer:render_context_vulkan_impl;vulkan:renderer:vulkan_context	2
6	component-080	vulkan	vulkan:renderer:render_target	vulkan:renderer:render_context_vulkan_impl;vulkan:renderer:vulkan_context	2
