source_path	source_sha256	evidence_kind	evidence_count	cutover_disposition	cutover_status
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_interior_triangles.webgpu_fixedcolor_frag.wgsl	3e5a6bb98adcd7d3164091803ca8800b599c01bb8b8853e108cf434fdd69eaf2	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_interior_triangles.webgpu_vert.wgsl	1b457fdde7c4faedb57097b8a1d3624e561364f11ca91314ff02e0b98dd0210d	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_interior_triangles_borrowed.webgpu_frag.wgsl	68076ddf5fa78e2da9d9ca1bad3b8113b597cf9d9dc7a46ee8368f8e04308742	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_interior_triangles_sampled_clip.webgpu_fixedcolor_frag.wgsl	60d4766c0c3344a87ba342c96aa1dc4151ee9c3a896ff820adb69799a2f94246	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_path.webgpu_fixedcolor_frag.wgsl	f3f4d7b8812747c0106db5948be1b4c6486785a1c14fa06cb792c19cf1fa1ce2	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_path.webgpu_vert.wgsl	482b0245f3ca222dad1881aab5b0480eeebb4bba61a9d1117792fa92fedaa9c7	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_path_borrowed.webgpu_frag.wgsl	f095582d6a992c61485615282e3dbabdd2c26b347afda864796b20318d78b8a9	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/clockwise_atomic_draw_path_sampled_clip.webgpu_fixedcolor_frag.wgsl	7aa12529465bfa7369fa9dea8041b525557893cb5d80757c7def1fe88b2f3847	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/color_ramp.frag.wgsl	3eda477aacd43703689460644613bc245e66d49f2f93f361ae3c3f62dc1a0024	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/color_ramp.vert.wgsl	135a8ebbfe0f2a8f7a9f87cda550c4a4d427945a716c5d8c9201ef6ae4c79230	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_fixedcolor_frag.wgsl	0a96da4c3860ada11ee36cb3963a011ee892054debaaccbbab485e82f89d1a87	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_frag.wgsl	897912c22d988a6cffe6fc6ffe8fd3bd6a212ed5616c556fc43886ab735b5e94	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_noclipdistance_vert.wgsl	3d89a81214a47a658bf47f22d9529547a4c76e6c2f251627d1f5f4d93aea6f9b	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_nossbo_noclipdistance_vert.wgsl	652163f2babdc8c7d828b804c47e91b248fd31ec3769c8084ad77d602ff14cd1	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_nossbo_vert.wgsl	dbc71b5daae7008cb2dc0f4f4809d7ff90b783cf153b80ce548477167967ed51	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_atlas_blit.webgpu_vert.wgsl	f8100cc842b0b302b426a907cc937985267e43d820781788e39f21dd31c74899	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_image_mesh.webgpu_fixedcolor_frag.wgsl	e424f94a84e8aad6e5cd0b4ef2ffd47e9dd46a98c60412e67aba927a8055cc9b	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_image_mesh.webgpu_frag.wgsl	ee8a39456140f43e4930280b94bbf84587cf5182804a098eae121d2ce40e355c	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_image_mesh.webgpu_noclipdistance_vert.wgsl	80290e42906d3fae37390a347fe0e7b32841112c5df4eb841bfbc0e04aa832ec	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_image_mesh.webgpu_vert.wgsl	f00c26185e6ff78b5a01438d9b7003798f5891dc20d9faf77040b9d2a447d806	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_fixedcolor_frag.wgsl	3b718dfc1f13fe31c84615796ae930ed6be58f9a09d65b8f2f79e62b80bac97b	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_frag.wgsl	1e24e38b794e5025e49981152bf83481a18623916ee77c157ac86bb98cb26af4	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_noclipdistance_vert.wgsl	0ff0dc642b8cb3880ef077afdc102e64165d4c606a1e27986e7fa5959599167f	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
crates/nuxie-renderer/src/generated/draw_msaa_path.webgpu_nossbo_noclipdistance_vert.wgsl	6d4db6941d41c388f7c43466824ebfa759fc0a8deceb12553dd5293f1b49429f	wgsl-artifact	1	retain-exact-webgpu-generated-input	complete
