campaign	corpus_entry	primary_backend_id	mode	stream_sha256	run_a_replay_sha256	run_b_replay_sha256	adapter	run_a_png_sha256	run_b_png_sha256	observed_different_pixels	observed_max_channel_delta	frozen_max_different_pixels	frozen_max_channel_delta	candidate_output_observed	status
vulkan	gm-bug339297-msaa	ffi-vulkan	msaa	fe9ccc9f38dd7bb46d607e87b5e19174a2ce998888add515c14ea350c3667973	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	98c8ac0fbf642fd9a2fbabe78cd1c876a49d2c3889c43bc4bc301d9702641359	98c8ac0fbf642fd9a2fbabe78cd1c876a49d2c3889c43bc4bc301d9702641359	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug339297_as_clip-clockwise-atomic	ffi-vulkan	clockwise-atomic	616bd2c72e37dea501db58c3f605a740e595ad268874504d597d3b6772892ebe	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	e41d692d18fe736b269b105095b45ddbbe26474a4ad990dab7e7fe743f0793d1	e41d692d18fe736b269b105095b45ddbbe26474a4ad990dab7e7fe743f0793d1	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug339297_as_clip-msaa	ffi-vulkan	msaa	616bd2c72e37dea501db58c3f605a740e595ad268874504d597d3b6772892ebe	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	98c8ac0fbf642fd9a2fbabe78cd1c876a49d2c3889c43bc4bc301d9702641359	98c8ac0fbf642fd9a2fbabe78cd1c876a49d2c3889c43bc4bc301d9702641359	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug5099-clockwise-atomic	ffi-vulkan	clockwise-atomic	d7d359a6fc4e578c6e63a904751aaa506f29a7b6cca0496afea15c4a9a7d1290	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	8db7704f45194af220a08f95ac04da8fa1ff418fbad81c16e7332c17d7ba0c4e	a7831c855d6ffbaedd3b65c6b26dd1814858b0b03d75f21e835cada3ee5b5449	0	1	0	1	false	frozen-source-repeatability
vulkan	gm-bug5099-msaa	ffi-vulkan	msaa	d7d359a6fc4e578c6e63a904751aaa506f29a7b6cca0496afea15c4a9a7d1290	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	3dbafdf2c3452e00ff23f9ec8001a70d0c74a4bbf79be1f7767673b3bb7fc6f5	3dbafdf2c3452e00ff23f9ec8001a70d0c74a4bbf79be1f7767673b3bb7fc6f5	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug6083-clockwise-atomic	ffi-vulkan	clockwise-atomic	b415dca93f39c73e886598973b23caeed00b859375a6a49996b48bb8cc853d46	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	5bd2df428cd93701130623bf2dcecd55ded43239b3af96c469370c331fce7fb6	9566beacc01bcffec5b2a8202681d3675f0d5854c19a432a6ff70b94a075f6ba	0	1	0	1	false	frozen-source-repeatability
vulkan	gm-bug6083-msaa	ffi-vulkan	msaa	b415dca93f39c73e886598973b23caeed00b859375a6a49996b48bb8cc853d46	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	5e4efc3f60f300f3a081e59831f32d510f227b5003ff36ef9f23306cfd1a8caa	5e4efc3f60f300f3a081e59831f32d510f227b5003ff36ef9f23306cfd1a8caa	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug615686-clockwise-atomic	ffi-vulkan	clockwise-atomic	5e0ae16cddf4fa148403c138bc96be3e49732ec05d13c0a9e42c4a66833ff725	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	c5dc9debb3e94b4bb80e4211cd95b2cdb471a060d023508a01f9391932968409	c5dc9debb3e94b4bb80e4211cd95b2cdb471a060d023508a01f9391932968409	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug615686-msaa	ffi-vulkan	msaa	5e0ae16cddf4fa148403c138bc96be3e49732ec05d13c0a9e42c4a66833ff725	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	5cfff54e78fb2485561e829c03fce5a989298a0aa0e44cc7fcf637347ce9dfc0	5cfff54e78fb2485561e829c03fce5a989298a0aa0e44cc7fcf637347ce9dfc0	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-bug6987-clockwise-atomic	ffi-vulkan	clockwise-atomic	058dfca75a294c5a2d85929da3bba1c86cf30f5d4672424c437d057a389df3e7	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	3593a574d4b89e448c735417a6496b2c6cfe6dcf65713d4ce724640ffbba660a	3593a574d4b89e448c735417a6496b2c6cfe6dcf65713d4ce724640ffbba660a	0	0	0	0	false	frozen-source-repeatability
